iter	Passed	Remaining
0	89	39580
1	171	37737
2	231	33890
3	276	30351
4	322	28270
5	368	26818
6	408	25422
7	452	24592
8	512	24694
9	549	23805
10	598	23493
11	637	22880
12	675	22338
13	718	22008
14	755	21544
15	790	21083
16	829	20785
17	866	20464
18	910	20324
19	952	20149
20	987	19841
21	1023	19590
22	1057	19306
23	1095	19119
24	1137	19015
25	1174	18832
26	1220	18808
27	1259	18664
28	1292	18453
29	1322	18205
30	1351	17964
31	1381	17747
32	1412	17549
33	1441	17343
34	1471	17153
35	1514	17121
36	1546	16973
37	1580	16842
38	1612	16704
39	1643	16558
40	1672	16394
41	1701	16241
42	1735	16143
43	1766	16019
44	1795	15875
45	1877	16199
46	1966	16567
47	2033	16738
48	2173	17477
49	2255	17729
50	2328	17898
51	2371	17832
52	2406	17706
53	2439	17572
54	2474	17456
55	2507	17327
56	2544	17230
57	2593	17218
58	2639	17180
59	2680	17112
60	2713	16993
61	2748	16890
62	2786	16804
63	2823	16718
64	2859	16626
65	2893	16527
66	2928	16436
67	2961	16331
68	2995	16234
69	3029	16144
70	3064	16056
71	3098	15963
72	3130	15867
73	3167	15795
74	3200	15705
75	3239	15642
76	3294	15660
77	3330	15586
78	3366	15511
79	3397	15417
80	3431	15337
81	3466	15261
82	3499	15179
83	3531	15091
84	3562	15003
85	3590	14906
86	3617	14804
87	3645	14704
88	3676	14622
89	3707	14541
90	3741	14472
91	3778	14416
92	3823	14388
93	3866	14356
94	3908	14319
95	3951	14281
96	3999	14266
97	4099	14432
98	4143	14397
99	4179	14336
100	4213	14268
101	4246	14196
102	4276	14117
103	4315	14065
104	4349	14002
105	4383	13937
106	4424	13894
107	4459	13833
108	4492	13766
109	4537	13735
110	4578	13694
111	4615	13641
112	4655	13595
113	4695	13551
114	4740	13521
115	4775	13461
116	4804	13387
117	4836	13321
118	4866	13251
119	4896	13180
120	4956	13189
121	4998	13151
122	5030	13087
123	5060	13017
124	5094	12961
125	5123	12889
126	5152	12821
127	5181	12752
128	5213	12690
129	5246	12632
130	5277	12568
131	5321	12538
132	5351	12473
133	5376	12399
134	5406	12333
135	5434	12268
136	5464	12205
137	5491	12136
138	5541	12120
139	5577	12071
140	5612	12020
141	5654	11985
142	5689	11936
143	5726	11890
144	5763	11845
145	5798	11796
146	5832	11744
147	5872	11705
148	5906	11654
149	5939	11601
150	5977	11558
151	6009	11504
152	6038	11445
153	6077	11404
154	6112	11356
155	6144	11303
156	6179	11257
157	6215	11210
158	6245	11154
159	6281	11110
160	6312	11056
161	6339	10995
162	6367	10938
163	6395	10879
164	6423	10822
165	6451	10765
166	6479	10708
167	6511	10659
168	6541	10606
169	6570	10550
170	6599	10496
171	6625	10439
172	6654	10386
173	6686	10337
174	6714	10282
175	6742	10228
176	6772	10177
177	6801	10125
178	6828	10071
179	6854	10014
180	6884	9964
181	6911	9911
182	6939	9859
183	6967	9807
184	7000	9762
185	7027	9710
186	7054	9657
187	7081	9605
188	7113	9559
189	7144	9513
190	7170	9461
191	7202	9415
192	7237	9374
193	7271	9332
194	7309	9296
195	7352	9265
196	7386	9223
197	7420	9181
198	7456	9142
199	7482	9091
200	7508	9039
201	7535	8990
202	7563	8942
203	7589	8891
204	7617	8843
205	7646	8797
206	7677	8752
207	7704	8704
208	7732	8657
209	7762	8612
210	7794	8569
211	7821	8522
212	7850	8477
213	7881	8433
214	7909	8388
215	7937	8341
216	7965	8295
217	7997	8254
218	8023	8206
219	8050	8160
220	8079	8115
221	8112	8075
222	8140	8030
223	8168	7986
224	8194	7939
225	8225	7897
226	8253	7853
227	8283	7810
228	8312	7767
229	8344	7727
230	8371	7683
231	8399	7638
232	8434	7602
233	8468	7563
234	8498	7522
235	8528	7480
236	8557	7437
237	8585	7395
238	8613	7351
239	8641	7309
240	8671	7268
241	8697	7224
242	8725	7181
243	8750	7136
244	8779	7094
245	8807	7053
246	8836	7011
247	8864	6970
248	8896	6931
249	8923	6889
250	8950	6846
251	8976	6803
252	9008	6765
253	9038	6725
254	9065	6683
255	9094	6643
256	9127	6605
257	9156	6565
258	9184	6525
259	9221	6490
260	9260	6457
261	9299	6424
262	9333	6387
263	9363	6348
264	9390	6307
265	9419	6267
266	9447	6227
267	9476	6188
268	9505	6148
269	9533	6108
270	9557	6066
271	9586	6026
272	9612	5986
273	9647	5950
274	9684	5916
275	9723	5883
276	9756	5847
277	9788	5809
278	9820	5772
279	9849	5733
280	9876	5694
281	9904	5654
282	9935	5617
283	9962	5577
284	9990	5538
285	10019	5499
286	10047	5461
287	10074	5422
288	10100	5382
289	10135	5347
290	10163	5308
291	10190	5269
292	10218	5231
293	10250	5195
294	10281	5157
295	10308	5119
296	10338	5082
297	10372	5046
298	10401	5009
299	10433	4973
300	10465	4937
301	10494	4899
302	10521	4861
303	10551	4824
304	10583	4788
305	10613	4751
306	10641	4714
307	10670	4676
308	10702	4641
309	10727	4602
310	10755	4564
311	10786	4528
312	10817	4492
313	10846	4456
314	10877	4420
315	10909	4384
316	10941	4349
317	10974	4313
318	11005	4278
319	11036	4242
320	11064	4205
321	11096	4169
322	11133	4136
323	11169	4102
324	11210	4070
325	11242	4034
326	11278	4000
327	11309	3965
328	11342	3930
329	11376	3895
330	11413	3861
331	11462	3832
332	11496	3797
333	11526	3761
334	11557	3725
335	11582	3688
336	11611	3652
337	11642	3616
338	11670	3580
339	11696	3543
340	11727	3507
341	11755	3471
342	11781	3434
343	11808	3398
344	11838	3362
345	11867	3327
346	11895	3290
347	11923	3255
348	11953	3219
349	11990	3186
350	12042	3156
351	12091	3125
352	12126	3091
353	12157	3056
354	12188	3021
355	12216	2985
356	12250	2951
