model,score,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,tree_method,device,eval_metric,objective,metric,verbosity,boosting_type,device_type,num_leaves,min_child_samples,iterations,depth,l2_leaf_reg,bagging_temperature,border_count,verbose,random_state,task_type,od_type,od_wait
XGBoost,0.8850879807986303,854.0,5.0,0.12977086448615027,0.6539619570643472,0.8046187073201703,8.0,2.065485490094226,4.383777457861473,0.6936568825699901,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8746178071301902,440.0,10.0,0.195512516316269,0.8829235052823896,0.7859017315089593,4.0,0.14611361232004738,3.9858370308711706,2.5204907083645045,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8876888032776861,215.0,4.0,0.0915678028636768,0.7696747732641412,0.9592460228135103,8.0,1.7800358277181216,3.690285467880982,0.7583507505749754,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8835248119611081,362.0,4.0,0.18955836512331609,0.6570329710277274,0.7185835536482016,8.0,1.2961019128346218,4.351507381438563,1.432443859383365,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8849580352228947,396.0,3.0,0.158804637681732,0.9483753036532714,0.8559096318886734,5.0,3.354832094039246,4.94177397406338,0.25460396658032514,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.886326285696814,961.0,8.0,0.07895002285663272,0.7389726097047146,0.7770228319879499,7.0,4.968899725574431,3.509103845818477,2.4734803609549734,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8876008989176297,436.0,4.0,0.07713629082491123,0.6987789611514942,0.6944350163311263,2.0,1.9856289796417637,4.810512827929443,3.980726473936709,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8873429187305081,322.0,4.0,0.11309527836436174,0.9043102276036538,0.9387837929991001,9.0,0.8388755053590374,2.672301553546805,2.866725440496646,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8829477007276954,350.0,9.0,0.15885460385206748,0.7284121940383852,0.6267552832943811,7.0,2.6219549665018773,4.137656639586354,1.9972345490245813,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8874078915183758,818.0,5.0,0.05024223867810495,0.8965704820637883,0.8515774530351755,1.0,3.0227124867717854,1.7679417660028596,3.5684605486600103,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8811533052039381,203.0,7.0,0.01219541618458675,0.8042933226053302,0.9716556735613421,10.0,4.004230054867294,0.2034119322352077,1.1121938992422464,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8871957744756315,577.0,6.0,0.07190535492332024,0.7813883477552335,0.6408631180194002,2.0,1.7373586134948162,3.0293965460317214,4.312208756563856,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8870123218981226,242.0,3.0,0.08892982125842128,0.601507538361809,0.7017842528699584,3.0,1.0650287479524083,1.7772321240782656,4.721302205825109,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8882162294380237,546.0,6.0,0.0385086111733529,0.8259197681012885,0.9151157620075007,6.0,2.311990545337049,4.984672850215556,3.6481078489334964,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8851376658717056,635.0,6.0,0.031960855814294156,0.8213216785063961,0.9278136768343086,6.0,3.7037152749829874,3.4498654290266986,3.46735113319027,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8857654176603682,640.0,7.0,0.051645180742861396,0.8388444593371209,0.9973657054559312,5.0,2.535277168977893,1.6867695809507977,0.09832134789029034,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8834369076010518,557.0,5.0,0.10873935355596553,0.9724708653063519,0.8959921114045588,10.0,0.21127018583379353,3.562862726250785,1.6408674606762532,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.887690714242035,743.0,8.0,0.04706080530276407,0.7594212623043759,0.8939125189146768,6.0,1.5514477913906057,4.97459130468709,3.159062527828781,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8870390753990094,733.0,8.0,0.012705341218683601,0.864293501120346,0.8870460230253956,6.0,0.6960726374972925,0.7056732796235092,3.371157562233873,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.886826958356265,706.0,8.0,0.048948166132638096,0.7546606471618376,0.8398624937778274,4.0,1.3791584584548606,4.982871032830357,2.9306162412273595,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8879544273222039,512.0,10.0,0.031199609938498574,0.6960898292381195,0.891644396109916,4.0,2.7924875447700783,2.329967719928253,4.979977384535834,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8872875007643857,514.0,10.0,0.031199515583062658,0.6789391442096261,0.9074560856681572,4.0,2.9290685166410215,2.3312099828593498,4.811492544723396,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8885162508408244,503.0,9.0,0.03438831342264148,0.7146475093041291,0.8873262651742412,6.0,2.279391060306968,2.323033587387896,4.186017576871574,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8872206170121689,494.0,9.0,0.030039838269612942,0.6025218596847447,0.8167359066952709,5.0,2.182934779364783,2.271168518954246,4.163952713007358,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8887092582400784,498.0,9.0,0.06166934729350603,0.7092697130995336,0.8702282530272064,7.0,4.039952659630737,1.4505130062166967,4.919991548728598,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8885238946982206,458.0,9.0,0.06314049952796345,0.7164275259862843,0.7522212671188608,7.0,4.536823301845612,1.1529286278999156,3.835174176281876,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8883308872989665,281.0,9.0,0.06436754577634271,0.7153487122787211,0.7496560153096845,7.0,4.574963639829398,1.1259003849283271,4.533699475931779,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.886905307894576,459.0,9.0,0.09456275700603393,0.638073336351998,0.7660012630761557,9.0,4.107273261570188,1.2210605759807716,3.891420585452354,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8883710175502967,638.0,10.0,0.06361560267708667,0.6798762821626031,0.8236086536371157,7.0,4.322764487230324,1.2457158730898554,4.345616777814036,hist,cuda,auc,,,,,,,,,,,,,,,,,
XGBoost,0.8842853757720295,393.0,9.0,0.12514585282895424,0.6393227071190616,0.8657327328623953,9.0,3.482668215383982,0.5950964270937178,3.9072492322134593,hist,cuda,auc,,,,,,,,,,,,,,,,,
LightGBM,0.8863740598055403,668.0,9.0,0.03539640505293164,0.8786022676304965,0.6250364819140742,,,4.66775063997925,0.7151315624323057,,,,binary,auc,-1.0,gbdt,gpu,121.0,9.0,,,,,,,,,,
LightGBM,0.8883519079068061,190.0,12.0,0.1071277762194415,0.690691378671765,0.9365937931164292,,,1.8412278768133299,0.5885135366774119,,,,binary,auc,-1.0,gbdt,gpu,46.0,14.0,,,,,,,,,,
LightGBM,0.8873467406592063,498.0,11.0,0.19132059954003944,0.9445482879294889,0.6761767110423703,,,1.8949182403505693,1.5565659853853404,,,,binary,auc,-1.0,gbdt,gpu,147.0,89.0,,,,,,,,,,
LightGBM,0.8866607044578976,306.0,5.0,0.1075310365003411,0.9665578390645165,0.8284309377946126,,,3.3814514012444548,4.983257694867313,,,,binary,auc,-1.0,gbdt,gpu,35.0,56.0,,,,,,,,,,
LightGBM,0.8890303002507185,322.0,4.0,0.10537014062881764,0.7480304961687906,0.8141036561951116,,,2.295707461618639,1.1982331389266294,,,,binary,auc,-1.0,gbdt,gpu,124.0,46.0,,,,,,,,,,
LightGBM,0.8878474133186571,613.0,3.0,0.12924036492050242,0.6467195761403558,0.7956748207168327,,,3.526660460599334,3.6646750452028143,,,,binary,auc,-1.0,gbdt,gpu,73.0,42.0,,,,,,,,,,
LightGBM,0.8869970341833302,194.0,7.0,0.10230217403411992,0.8328601172779686,0.895770996926448,,,1.480898178785578,0.07621588215099118,,,,binary,auc,-1.0,gbdt,gpu,34.0,55.0,,,,,,,,,,
LightGBM,0.886790650033633,911.0,9.0,0.04749621239491452,0.7460974336831188,0.7631505007410958,,,4.539644724706948,0.895883845839438,,,,binary,auc,-1.0,gbdt,gpu,118.0,23.0,,,,,,,,,,
LightGBM,0.885860010395646,485.0,5.0,0.13791573124116735,0.9313804328787654,0.7465766050817533,,,3.9777243035882313,4.727407159218366,,,,binary,auc,-1.0,gbdt,gpu,117.0,69.0,,,,,,,,,,
LightGBM,0.8890341221794166,393.0,5.0,0.1853305229994786,0.8620013130919459,0.8949663277054292,,,3.8697609875869263,3.183094511309056,,,,binary,auc,-1.0,gbdt,gpu,51.0,84.0,,,,,,,,,,
LightGBM,0.8847726716810371,798.0,7.0,0.18234688629704845,0.855096190301884,0.8926086218517714,,,0.19813354275105333,2.8976826480216573,,,,binary,auc,-1.0,gbdt,gpu,81.0,100.0,,,,,,,,,,
LightGBM,0.888000290466581,353.0,3.0,0.16081772491239404,0.7619876326196864,0.9974363579903459,,,2.836973444212306,2.04293483802823,,,,binary,auc,-1.0,gbdt,gpu,54.0,77.0,,,,,,,,,,
LightGBM,0.8865823549195866,371.0,5.0,0.0663575886415353,0.78113440935859,0.8357685677131838,,,0.8157600267053917,3.224408836390793,,,,binary,auc,-1.0,gbdt,gpu,97.0,34.0,,,,,,,,,,
LightGBM,0.8844611844921422,109.0,4.0,0.07338018369473816,0.7193111713533582,0.8705681663900487,,,2.5518729061931458,2.2664220042225436,,,,binary,auc,-1.0,gbdt,gpu,62.0,67.0,,,,,,,,,,
LightGBM,0.8835630312480889,447.0,6.0,0.015970216117519406,0.8229490114260251,0.9539351608948494,,,3.112772193487881,4.031241181759411,,,,binary,auc,-1.0,gbdt,gpu,150.0,40.0,,,,,,,,,,
LightGBM,0.8878970983917324,252.0,4.0,0.16059926665160215,0.6109626267126664,0.7232224788560683,,,3.939609356794613,1.898376110018257,,,,binary,auc,-1.0,gbdt,gpu,97.0,81.0,,,,,,,,,,
LightGBM,0.884336971809454,612.0,8.0,0.16028364392348435,0.8949084042223054,0.7995876783881379,,,2.130358838720049,1.4160587193545682,,,,binary,auc,-1.0,gbdt,gpu,22.0,63.0,,,,,,,,,,
LightGBM,0.8854644407753929,398.0,6.0,0.08366348602805862,0.6954783914246617,0.8599379991004411,,,1.155151255365106,2.608248032773009,,,,binary,auc,-1.0,gbdt,gpu,131.0,47.0,,,,,,,,,,
LightGBM,0.8876754265272427,700.0,4.0,0.1355338602219001,0.7943253156935759,0.9282287642571663,,,3.948095823404005,4.159390069848412,,,,binary,auc,-1.0,gbdt,gpu,93.0,32.0,,,,,,,,,,
LightGBM,0.8845108695652173,275.0,6.0,0.19467913092198313,0.9130546943743286,0.9798317898250757,,,2.4509165439791727,3.028446799988373,,,,binary,auc,-1.0,gbdt,gpu,70.0,100.0,,,,,,,,,,
LightGBM,0.8879754479300433,545.0,3.0,0.12480219315600721,0.8218920068947361,0.7101932424945812,,,4.2782862557666945,1.280932050407755,,,,binary,auc,-1.0,gbdt,gpu,105.0,87.0,,,,,,,,,,
LightGBM,0.887803461138629,107.0,12.0,0.11350640019291372,0.6806984727911497,0.9295117082980966,,,1.9497124730873434,0.04209487054759786,,,,binary,auc,-1.0,gbdt,gpu,49.0,6.0,,,,,,,,,,
